Tahun,Energi,IPPU,Pertanian,FOLU,Kebakaran Hutan,Limbah,Jumlah
2000,317609,42883,99314,500019,161571,64832,1186228
2001,341919,48269,97124,-144329,50885,67602,461470
2002,349485,41688,98381,-119030,301753,70063,742340
2003,378050,41402,99652,-130833,132075,73061,593407
2004,380434,43146,102083,17062,232018,75225,849968
2005,376988,42296,103227,33119,258887,77216,891733
2006,386100,38641,103517,53411,510710,82578,1174957
2007,402989,35919,105991,161799,62747,83933,853378
2008,391784,36499,99949,157343,81744,85023,852342
2009,405653,37546,105087,259880,299920,89326,1197412
2010,453235,36033,108318,73343,51383,87670,809982
2011,507357,35910,107520,122414,189026,91852,1054079
2012,540419,40078,112058,249442,207050,95530,1244577
2013,496030,39164,112882,377747,205076,100514,1331413
2014,531142,47489,112801,215318,499389,102834,1508973
2015,536306,49297,117160,742843,822736,106061,2374403
2016,538025,55307,122185,417385,90267,112352,1335521
2017,562244,55395,127503,476005,12512,120191,1353850
2018,595665,59262,110055,602188,121322,127077,1615569
2019,638808,60175,108598,468425,456427,134119,1866552